Country,Place_Name,Latitude,Longitude
DE,Frankfurt Am Main,52.35,14.55
DE,Frankfurt Am Main,52.3646,14.5244
DE,Munich,48.1381,11.6147
DE,Kiel,54.3333,10.1333
DE,Kiel,54.301,10.116
DE,Steyerberg,52.5846,8.9948
DE,Neukirchen,50.8,12.3667
DE,Wiesloch,49.2946,8.6964
DE,Vreden,52.06399999999999,6.803999999999999
DE,Bocholt,51.8413,6.6242
DE,Bad Berka,50.9,11.2833
DE,Leipzig,51.3667,12.3833
DE,Halle,51.483000000000004,11.972000000000001
DE,Halle,51.5034,11.9622
DE,Halle,51.4701,11.9675
DE,Potsdam,52.3689,13.1273
DE,Dachau,48.2619,11.4452
DE,Rosenheim,47.855,12.1232
DE,Tuttlingen,47.9796,8.8074
DE,Schwaigern,49.1419,9.0419
DE,Gaildorf,49.003,9.7557
DE,Hamburg,53.6023,10.0252
DE,Aachen,50.8034,6.0627
DE,D<fc>ren,50.8294,6.462000000000001
DE,Roetgen,50.65,6.2
DE,H<fc>rtgenwald,50.7167,6.3667
DE,Regensburg,49.015,12.0956
DE,Hagen,51.3987,7.4901
DE,Unterf<f6>hring,48.1884,11.6584
DE,N<fc>rnberg,49.5178,11.0058
DE,N<fc>rnberg,49.4897,11.1064
DE,Rosenheim,47.8748,12.110999999999999
DE,Holzkirchen,47.8818,11.6988
DE,Eching,48.3,11.6167
DE,Neuss,51.2154,6.6631
DE,Kaarst,51.2166,6.6156
DE,Dormagen,51.1,6.8333
DE,Ratingen,51.2922,6.8485
DE,Bensheim,49.6867,8.6284
DE,K<f6>ln,50.9251,6.9584
DE,J<fc>lich,50.9253,6.3627
DE,D<fc>sseldorf,51.2686,6.81
DE,D<fc>sseldorf,51.2117,6.8071
DE,D<fc>sseldorf,51.2371,6.7795
DE,D<fc>sseldorf,51.2696,6.747999999999999
DE,D<fc>sseldorf,51.2561,6.7808
DE,D<fc>sseldorf,51.2165,6.7836
DE,Dormagen,51.0923,6.8114
DE,D<fc>sseldorf,51.2301,6.8216
DE,Hamburg,53.592,9.9198
DE,Altdorf,49.3875,11.3572
DE,Crailsheim,49.136,10.0613
DE,Aalen,48.821999999999996,10.0654
DE,Ellwangen,48.9623,10.1545
DE,Schw<e4>bisch Gm<fc>nd,48.7989,9.7989
DE,G<fc>nzburg,48.4534,10.2621
